"term","overlap","set_size","query_size","universe_size","p_value","overlap_genes","adjusted_p","cluster","display"
"Class A/1 (Rhodopsin-like Receptors) R-HSA-373076",8,17,200,2483,1.99047895969222e-05,"FPR1;PTAFR;NLRP3;C5AR1;CCL3;GPBAR1;LTB4R;HEBP1",0.00444374427751288,"2","C2: Class A/1 (Rhodopsin-like Receptors) R-HSA-373076"
"RHO GTPases Activate NADPH Oxidases R-HSA-5668599",6,10,200,2483,4.05311670598308e-05,"S100A8;S100A9;NCF2;CYBB;NCF4;PRKCD",0.00723886643688578,"2","C2: RHO GTPases Activate NADPH Oxidases R-HSA-5668599"
"Eukaryotic Translation Elongation R-HSA-156842",28,82,200,2309,3.19277664074881e-11,"RPL22L1;RPS11;RPS23;EEF2;RPL18A;RPS5;EEF1B2;RPS21;RPSA;RPS8;RPL8;RPL13A;RPL15;RPL10A;RPL18;RPS27;RPL12;RPL29;RPL37A;RPS13;FAU;RPL9;RPL37;RPL23A;RPL35;RPL21;RPS3A;RPL27",2.77133012416997e-08,"3","C3: Eukaryotic Translation Elongation R-HSA-156842"
"Peptide Chain Elongation R-HSA-156902",27,79,200,2309,7.29087910187945e-11,"RPL22L1;RPS11;RPS23;EEF2;RPL18A;RPS5;RPS21;RPSA;RPS8;RPL8;RPL13A;RPL15;RPL10A;RPL18;RPS27;RPL12;RPL29;RPL37A;RPS13;FAU;RPL9;RPL37;RPL23A;RPL35;RPL21;RPS3A;RPL27",3.16424153021568e-08,"3","C3: Peptide Chain Elongation R-HSA-156902"
"Selenocysteine Synthesis R-HSA-2408557",26,77,200,2309,2.31935406807594e-10,"RPL22L1;RPS11;RPS23;RPL18A;RPS5;RPS21;RPSA;RPS8;RPL8;RPL13A;RPL15;RPL10A;RPL18;RPS27;RPL12;RPL29;RPL37A;RPS13;FAU;RPL9;RPL37;RPL23A;RPL35;RPL21;RPS3A;RPL27",4.65802390075028e-08,"3","C3: Selenocysteine Synthesis R-HSA-2408557"
"Eukaryotic Translation Termination R-HSA-72764",26,78,200,2309,3.21983218945872e-10,"RPL22L1;RPS11;RPS23;RPL18A;RPS5;RPS21;RPSA;RPS8;RPL8;RPL13A;RPL15;RPL10A;RPL18;RPS27;RPL12;RPL29;RPL37A;RPS13;FAU;RPL9;RPL37;RPL23A;RPL35;RPL21;RPS3A;RPL27",4.65802390075028e-08,"3","C3: Eukaryotic Translation Termination R-HSA-72764"
"Selenoamino Acid Metabolism R-HSA-2408522",26,78,200,2309,3.21983218945872e-10,"RPL22L1;RPS11;RPS23;RPL18A;RPS5;RPS21;RPSA;RPS8;RPL8;RPL13A;RPL15;RPL10A;RPL18;RPS27;RPL12;RPL29;RPL37A;RPS13;FAU;RPL9;RPL37;RPL23A;RPL35;RPL21;RPS3A;RPL27",4.65802390075028e-08,"3","C3: Selenoamino Acid Metabolism R-HSA-2408522"
"Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933",20,36,140,2337,3.00239133204929e-16,"CD8A;KLRG1;NCR3;CD160;CD8B;SH2D1A;KLRB1;KLRD1;CD3D;HCST;CD99;HLA-C;CD3E;HLA-F;HLA-A;B2M;CD247;HLA-B;IFITM1;HLA-E",2.63609958953927e-13,"4","C4: Immunoregulatory Interactions Between A Lymphoid And A non-Lymph"
"Adaptive Immune System R-HSA-1280218",35,203,140,2337,1.89783897204508e-09,"LAG3;CD8A;KLRG1;PRR5;NCR3;CD160;CD8B;SH2D1A;MIB2;KLRB1;KLRD1;ZAP70;CD3D;FYN;HSPA5;HCST;LCK;ORAI1;CD99;CTSC;HLA-C;CD3E;HLA-F;PPP2R5C;HLA-A;B2M;CALM1;CD247;HLA-B;IFITM1;HLA-E;RAP1B;PTPRC;UBC;RPS27A",8.3315130872779e-07,"4","C4: Adaptive Immune System R-HSA-1280218"
"Endosomal/Vacuolar Pathway R-HSA-1236977",6,7,140,2337,2.77719332656703e-07,"HLA-C;HLA-F;HLA-A;B2M;HLA-B;HLA-E",8.12791913575283e-05,"4","C4: Endosomal/Vacuolar Pathway R-HSA-1236977"
"DAP12 Interactions R-HSA-2172127",7,11,140,2337,6.45037285495424e-07,"KLRD1;FYN;LCK;HLA-C;B2M;HLA-B;HLA-E",0.000141585684166246,"4","C4: DAP12 Interactions R-HSA-2172127"
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",7,12,140,2337,1.47091317468647e-06,"HSPA5;HLA-C;HLA-F;HLA-A;B2M;HLA-B;HLA-E",0.000258292353474943,"4","C4: Antigen Presentation: Folding, Assembly, Peptide Loading Of Clas"
"Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933",14,43,200,3230,1.23241763494788e-07,"ICAM4;LILRA3;SIGLEC10;LILRB1;PILRA;LILRB2;LILRA5;CD300LF;CD300C;LILRA1;LILRA2;OSCAR;CD300E;LILRB4",0.000120900169988387,"5","C5: Immunoregulatory Interactions Between A Lymphoid And A non-Lymph"
"Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933",18,42,200,2609,2.72072748571769e-10,"SH2D1B;KIR2DL3;KLRF1;KIR3DL2;KLRD1;CD160;KLRC1;CD247;SLAMF7;CD300A;NCR3;KLRB1;ITGB2;ITGAL;SH2D1A;ITGB7;IFITM1;HCST",2.47042055703166e-07,"6","C6: Immunoregulatory Interactions Between A Lymphoid And A non-Lymph"
"GPCR Ligand Binding R-HSA-500792",11,25,200,2609,7.0413036881768e-07,"RAMP1;XCL2;CCL4;XCL1;PTGDR;S1PR5;CX3CR1;CCL3;GNG2;CCL5;PTGER2",0.000319675187443227,"6","C6: GPCR Ligand Binding R-HSA-500792"
"Class A/1 (Rhodopsin-like Receptors) R-HSA-373076",9,18,200,2609,2.03040122869352e-06,"XCL2;CCL4;XCL1;PTGDR;S1PR5;CX3CR1;CCL3;CCL5;PTGER2",0.000614534771884573,"6","C6: Class A/1 (Rhodopsin-like Receptors) R-HSA-373076"
"Chemokine Receptors Bind Chemokines R-HSA-380108",6,8,200,2609,4.64312686226499e-06,"XCL2;CCL4;XCL1;CX3CR1;CCL3;CCL5",0.00105398979773415,"6","C6: Chemokine Receptors Bind Chemokines R-HSA-380108"
"Signaling By GPCR R-HSA-372790",15,61,200,2609,3.28713477439488e-05,"RAMP1;XCL2;CCL4;XCL1;PTGDR;S1PR5;RGS3;CX3CR1;CCL3;ARHGEF3;GNG2;RHOC;CCL5;PRKCH;PTGER2",0.0059694367503011,"6","C6: Signaling By GPCR R-HSA-372790"
"Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430",7,13,200,4610,3.58428506622189e-07,"HLA-DQB2;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DRB5;HLA-DRA",0.000267271415474412,"7","C7: Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430"
"PD-1 Signaling R-HSA-389948",7,14,200,4610,6.90623812595381e-07,"HLA-DQB2;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DRB5;HLA-DRA",0.000267271415474412,"7","C7: PD-1 Signaling R-HSA-389948"
"Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427",7,14,200,4610,6.90623812595381e-07,"HLA-DQB2;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DRB5;HLA-DRA",0.000267271415474412,"7","C7: Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427"
"MHC Class II Antigen Presentation R-HSA-2132295",12,54,200,4610,2.19945509287693e-06,"LGMN;HLA-DQB2;AP1S3;HLA-DQA2;HLA-DQA1;SEC24D;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DRB5;HLA-DRA;CD74",0.000638391840707529,"7","C7: MHC Class II Antigen Presentation R-HSA-2132295"
"Generation Of Second Messenger Molecules R-HSA-202433",7,22,200,4610,2.54842170690565e-05,"HLA-DQB2;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DRB5;HLA-DRA",0.00591743520343492,"7","C7: Generation Of Second Messenger Molecules R-HSA-202433"
"Platelet Degranulation R-HSA-114608",18,46,200,2615,1.5850391368028e-09,"LY6G6F;ITGA2B;PF4;ITGB3;PPBP;CLU;SYTL4;SPARC;SERPINE1;CD9;F13A1;GTPBP2;RAB27B;ENDOD1;ACTN1;APP;FERMT3;TUBA4A",1.470916318953e-06,"8","C8: Platelet Degranulation R-HSA-114608"
"Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005",18,48,200,2615,3.5804115959925e-09,"LY6G6F;ITGA2B;PF4;ITGB3;PPBP;CLU;SYTL4;SPARC;SERPINE1;CD9;F13A1;GTPBP2;RAB27B;ENDOD1;ACTN1;APP;FERMT3;TUBA4A",1.66131098054052e-06,"8","C8: Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005"
"Platelet Activation, Signaling And Aggregation R-HSA-76002",24,90,200,2615,2.09729970063018e-08,"LY6G6F;ITGA2B;GP9;GNG11;PF4;ITGB3;PPBP;CLEC1B;CLU;SYTL4;SPARC;GP1BA;SERPINE1;CD9;F13A1;GP6;GTPBP2;RAB27B;ENDOD1;MGLL;ACTN1;APP;FERMT3;TUBA4A",6.48764707394936e-06,"8","C8: Platelet Activation, Signaling And Aggregation R-HSA-76002"
"Hemostasis R-HSA-109582",30,147,200,2615,2.50789239134284e-07,"LY6G6F;ITGA2B;GP9;GNG11;PF4;ITGB3;PPBP;CLEC1B;CLU;SYTL4;GATA2;SPARC;ESAM;GP1BA;SERPINE1;CD9;PRKAR2B;F13A1;GP6;SERPINE2;GTPBP2;EHD3;RAB27B;P2RX1;ENDOD1;MGLL;ACTN1;APP;FERMT3;TUBA4A",5.81831034791538e-05,"8","C8: Hemostasis R-HSA-109582"
"Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877",5,7,200,2615,4.61320611801356e-05,"GP9;PF4;GP1BA;F13A1;SERPINE2",0.00856211055503317,"8","C8: Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877"
