"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
3.02358231619429e-131,5.10931715400011,0.377,0.012,4.08848800795792e-127,"MS4A4A","5"
1.67311717823073e-200,4.9623973238105,0.585,0.02,2.2623890484036e-196,"HES4","5"
9.25831703102229e-51,4.81794057854822,0.157,0.006,1.25190962893483e-46,"SMPDL3A","5"
3.14647049065714e-90,4.70481165400044,0.277,0.01,4.25465739746659e-86,"BATF3","5"
2.89888463952089e-84,6.67136146077334,0.208,0.004,3.91987180956015e-80,"RAMP1","6"
1.772389441476e-85,6.35261364759915,0.201,0.003,2.39662500276385e-81,"FASLG","6"
1.56433749201664e-185,6.34445663701863,0.486,0.011,2.1152971567049e-181,"AKR1C3","6"
2.0430164232705e-110,6.15765384622692,0.292,0.007,2.76256680754637e-106,"SH2D1B","6"
1.2816809324663e-38,6.15763417420501,0.111,0.003,1.73308895688094e-34,"HBA1","6"
1.30385317494904e-259,6.03789312190644,0.972,0.068,1.76307026316609e-255,"GZMB","6"
1.10741302889943e-50,5.92059419431158,0.118,0.002,1.49744389767781e-46,"KIR2DL3","6"
2.76550127457567e-176,5.7280931323679,0.951,0.13,3.73951082348121e-172,"GNLY","6"
1.42744595198705e-217,5.64164342640569,0.75,0.039,1.93019241627689e-213,"SPON2","6"
2.81135462280893e-97,5.45011274085093,0.278,0.008,3.80151372096223e-93,"KLRF1","6"
3.0733292070904e-40,8.75106146855001,0.143,0.002,4.15575575382764e-36,"DNASE1L3","7"
3.21351521330004e-71,8.38647112300455,0.179,0.001,4.34531527142431e-67,"CLEC4C","7"
1.13210647580972e-192,7.99831554194319,0.5,0.002,1.5308343765899e-188,"SERPINF1","7"
1.50607431535428e-45,7.69198539258375,0.107,0,2.03651368922206e-41,"P2RY6","7"
4.15645482620803e-194,7.62480475485991,0.821,0.012,5.6203582159985e-190,"FCER1A","7"
3.09527677976412e-32,7.45384026820391,0.143,0.002,4.18543326159705e-28,"LILRA4","7"
8.02810131749854e-123,6.95200281632213,0.321,0.002,1.08555986015215e-118,"CLIC2","7"
2.2542347498737e-132,6.35479355903725,0.464,0.005,3.04817622877922e-128,"ENHO","7"
3.94343210033491e-40,6.23945965139735,0.143,0.002,5.33230888607286e-36,"SERPINF2","7"
3.56520289725175e-62,6.06681138402636,0.179,0.001,4.82086735766381e-58,"FBLN2","7"
0,14.3052797621558,0.615,0,0,"LY6G6F","8"
7.77053598162416e-214,13.8728067148333,0.385,0,1.05073187543522e-209,"RP11-879F14.2","8"
5.26269982580145e-129,13.3058685736934,0.231,0,7.11622270444873e-125,"SPOCD1","8"
7.3244897838632e-220,13.2072368276801,0.462,0,9.90417508573982e-216,"CLDN5","8"
5.26269982580145e-129,12.6446305042874,0.231,0,7.11622270444873e-125,"LCN2","8"
5.26269982580145e-129,11.903524412685,0.231,0,7.11622270444873e-125,"SEC14L5","8"
0,11.5318025862444,0.846,0.002,0,"ITGA2B","8"
1.15288086069157e-232,11.4437957615044,0.538,0.001,1.55892549982714e-228,"C2orf88","8"
0,11.4308632442801,0.923,0.002,0,"GP9","8"
0,11.3329929614513,0.846,0.001,0,"AP001189.4","8"
