"cluster","gene","present","mean_log_expression","fraction_expressing"
"3","GNG11",TRUE,0.00572834284660905,0.00301204819277108
"4","CD3D",TRUE,2.29459334478923,0.862068965517241
"4","CD3E",TRUE,1.6087069300227,0.7
"4","TRAC",FALSE,0,0
"4","IL7R",TRUE,1.0739201430369,0.451724137931034
"4","LTB",TRUE,1.52191391357083,0.568965517241379
"4","MS4A1",TRUE,0.0862575230742532,0.0448275862068966
"4","CD79A",TRUE,0.0323640583318958,0.0172413793103448
"4","CD79B",TRUE,0.218975558904004,0.113793103448276
"4","CD74",TRUE,2.11068311364916,0.831034482758621
"4","GNLY",TRUE,0.950963377157871,0.306896551724138
"4","KLRD1",TRUE,0.337440607657581,0.172413793103448
"4","NKG7",TRUE,3.45353803559223,0.948275862068966
"4","PRF1",TRUE,1.05026957750665,0.468965517241379
"4","LYZ",TRUE,0.83203920785185,0.424137931034483
"4","S100A8",TRUE,0.0668705838990981,0.0379310344827586
"4","S100A9",TRUE,0.270629521439494,0.148275862068966
"4","CD14",TRUE,0.0250237659096738,0.0137931034482759
"4","FCN1",TRUE,0.141073250180487,0.0758620689655172
"4","FCGR3A",TRUE,0.506479050944302,0.237931034482759
"4","MS4A7",TRUE,0.0245076315088356,0.0137931034482759
"4","LST1",TRUE,0.18574871512055,0.096551724137931
"4","LILRB1",TRUE,0.0224982921076355,0.0137931034482759
"4","FCER1A",TRUE,0.0191312898575516,0.0103448275862069
"4","CD1C",TRUE,0,0
"4","CLEC10A",TRUE,0,0
"4","PPBP",TRUE,0.036029734511513,0.0137931034482759
"4","PF4",TRUE,0.0246431283075412,0.0103448275862069
"4","GNG11",TRUE,0.0327565063823919,0.0206896551724138
"5","CD3D",TRUE,0.0867406774698038,0.0628930817610063
"5","CD3E",TRUE,0.180689588857164,0.119496855345912
"5","TRAC",FALSE,0,0
"5","IL7R",TRUE,0.157822668599029,0.119496855345912
"5","LTB",TRUE,1.03235930923755,0.622641509433962
"5","MS4A1",TRUE,0.110956137867604,0.0817610062893082
"5","CD79A",TRUE,0.0707348257174115,0.050314465408805
"5","CD79B",TRUE,1.02764902685546,0.578616352201258
"5","CD74",TRUE,3.44914577651375,0.987421383647799
"5","GNLY",TRUE,0.17044152708048,0.138364779874214
"5","KLRD1",TRUE,0.0160804946395987,0.0125786163522013
"5","NKG7",TRUE,0.553955973034462,0.339622641509434
"5","PRF1",TRUE,0.0842961807561182,0.0691823899371069
"5","LYZ",TRUE,3.20911958552813,0.993710691823899
"5","S100A8",TRUE,1.04241803469348,0.509433962264151
"5","S100A9",TRUE,2.22506766509915,0.886792452830189
"5","CD14",TRUE,0.237351518329673,0.163522012578616
"5","FCN1",TRUE,2.08176365422189,0.748427672955975
"5","FCGR3A",TRUE,2.8701732336905,0.974842767295597
"5","MS4A7",TRUE,1.79331354715518,0.805031446540881
"5","LST1",TRUE,3.83624439079883,1
"5","LILRB1",TRUE,0.73573735156754,0.477987421383648
"5","FCER1A",TRUE,0.00832991904950304,0.00628930817610063
"5","CD1C",TRUE,0.00822071457204327,0.00628930817610063
"5","CLEC10A",TRUE,0,0
"5","PPBP",TRUE,0.0900242206278784,0.0566037735849057
"5","PF4",TRUE,0.0584914546583519,0.0377358490566038
"5","GNG11",TRUE,0.0562471439146086,0.0440251572327044
"6","CD3D",TRUE,0.215713829279036,0.0972222222222222
"6","CD3E",TRUE,0.805345043294948,0.381944444444444
"6","TRAC",FALSE,0,0
"6","IL7R",TRUE,0.242417452640178,0.125
"6","LTB",TRUE,0.438593147801387,0.222222222222222
"6","MS4A1",TRUE,0.0844883609730703,0.0486111111111111
"6","CD79A",TRUE,0.0233180629926888,0.0138888888888889
"6","CD79B",TRUE,0.403999629584833,0.194444444444444
"6","CD74",TRUE,2.0004964773136,0.819444444444444
"6","GNLY",TRUE,4.2346826019917,0.951388888888889
"6","KLRD1",TRUE,1.19254009323676,0.555555555555556
"6","NKG7",TRUE,4.76495876949636,1
"6","PRF1",TRUE,3.07563879445306,0.965277777777778
"6","LYZ",TRUE,0.852449459116387,0.4375
"6","S100A8",TRUE,0.160255418256182,0.0902777777777778
"6","S100A9",TRUE,0.249130181408998,0.138888888888889
"6","CD14",TRUE,0.0125068430600122,0.00694444444444444
"6","FCN1",TRUE,0.138176725814061,0.0694444444444444
"6","FCGR3A",TRUE,2.28287079550648,0.861111111111111
"6","MS4A7",TRUE,0.013057728240066,0.00694444444444444
"6","LST1",TRUE,0.27449092340656,0.152777777777778
"6","LILRB1",TRUE,0.0251398934480451,0.0138888888888889
"6","FCER1A",TRUE,0.0372113414008456,0.0208333333333333
"6","CD1C",TRUE,0.0132747806660011,0.00694444444444444
"6","CLEC10A",TRUE,0,0
"6","PPBP",TRUE,0,0
"6","PF4",TRUE,0,0
"6","GNG11",TRUE,0,0
"7","CD3D",TRUE,0.13613308705037,0.142857142857143
"7","CD3E",TRUE,0.105566952035605,0.107142857142857
"7","TRAC",FALSE,0,0
"7","IL7R",TRUE,0.372667254369477,0.321428571428571
"7","LTB",TRUE,0.618005414674719,0.464285714285714
"7","MS4A1",TRUE,0.0385404286468636,0.0357142857142857
"7","CD79A",TRUE,0.0732167849158988,0.0714285714285714
"7","CD79B",TRUE,0.179365962261089,0.178571428571429
"7","CD74",TRUE,5.11498418182147,1
"7","GNLY",TRUE,0.342150044707017,0.285714285714286
"7","KLRD1",TRUE,0.033895004466497,0.0357142857142857
"7","NKG7",TRUE,0.29835925505421,0.25
"7","PRF1",TRUE,0.0860819968015944,0.0714285714285714
"7","LYZ",TRUE,4.57706432726979,0.964285714285714
"7","S100A8",TRUE,0.595243466879107,0.321428571428571
"7","S100A9",TRUE,1.25937087383766,0.571428571428571
"7","CD14",TRUE,0.209339444577378,0.178571428571429
"7","FCN1",TRUE,1.05917050253274,0.642857142857143
"7","FCGR3A",TRUE,0.187021944984632,0.178571428571429
"7","MS4A7",TRUE,0.211949262682773,0.178571428571429
"7","LST1",TRUE,2.20544139050917,0.892857142857143
"7","LILRB1",TRUE,0.0666689352092428,0.0714285714285714
"7","FCER1A",TRUE,2.18909237458589,0.821428571428571
"7","CD1C",TRUE,1.12426879273975,0.642857142857143
"7","CLEC10A",TRUE,1.33101635752828,0.714285714285714
"7","PPBP",TRUE,0.0410740944884206,0.0357142857142857
"7","PF4",TRUE,0.104884730725703,0.0714285714285714
"7","GNG11",TRUE,0,0
"8","CD3D",TRUE,0,0
"8","CD3E",TRUE,0.276217706289705,0.153846153846154
"8","TRAC",FALSE,0,0
"8","IL7R",TRUE,0.184293875527113,0.153846153846154
"8","LTB",TRUE,0.319787751970808,0.153846153846154
"8","MS4A1",TRUE,0,0
"8","CD79A",TRUE,0.0580461507518161,0.0769230769230769
"8","CD79B",TRUE,0.113624079625994,0.0769230769230769
"8","CD74",TRUE,1.98620648760733,0.692307692307692
"8","GNLY",TRUE,0,0
"8","KLRD1",TRUE,0,0
"8","NKG7",TRUE,0.18153006193039,0.153846153846154
"8","PRF1",TRUE,0.188792400054763,0.0769230769230769
"8","LYZ",TRUE,1.20596712407669,0.461538461538462
"8","S100A8",TRUE,0.473722248501342,0.230769230769231
"8","S100A9",TRUE,0.525410099370626,0.230769230769231
"8","CD14",TRUE,0,0
"8","FCN1",TRUE,0.0907490641138829,0.0769230769230769
"8","FCGR3A",TRUE,0.221913799549857,0.0769230769230769
"8","MS4A7",TRUE,0.113624079625994,0.0769230769230769
"8","LST1",TRUE,0.239187550099729,0.0769230769230769
"8","LILRB1",TRUE,0.0580461507518161,0.0769230769230769
"8","FCER1A",TRUE,0,0
"8","CD1C",TRUE,0,0
"8","CLEC10A",TRUE,0,0
"8","PPBP",TRUE,5.92187702353526,1
"8","PF4",TRUE,5.00414326101997,1
"8","GNG11",TRUE,4.42509083389791,1
